id   |Id_AutorGS  |Nombre_Autor                              |Cargo                                                                                                                       |Dominio  |Intereses                                                                                                               |Link                                                        |Hindex_Todo|Hindex_Desde|Citas_Todo|Citas_Desde|i10_Index_Todo|i10_Index_Desde|Id_InstitucionGS   |
33571|fCJZmKwAAAAJ|Elie Poulin                               |Universidad de Chile                                                                                                        |uchile   |                                                                                                                        |https://scholar.google.com/citations?hl=en&user=fCJZmKwAAAAJ|         33|          24|      3816|       2077|            67|             80|9232372474901007921|
33774|bbZWdFUAAAAJ|Benjamin Bustos                           |Department of Computer Science, University of Chile                                                                         |uchile   |Similarity searchContent-based multimedia information retrievalMultimedia Indexing3D model retrieval                    |https://scholar.google.com/citations?hl=en&user=bbZWdFUAAAAJ|         26|          16|      3795|       1498|            28|             56|9232372474901007921|
33934|iq-QblMAAAAJ|Carmen Saenz                              |Profesor Titular, Universidad de Chile                                                                                      |uchile   |Procesamiento de alimentosespecies de zonas áridascompuestos bioactivos                                                 |https://scholar.google.com/citations?hl=en&user=iq-QblMAAAAJ|         25|          18|      3792|       2005|            30|             52|9232372474901007921|
34088|Kk6Y__gAAAAJ|Carlos A Jerez                            |Professor of Microbiology, University of Chile                                                                              |uchile   |MicrobiologyBiotechnology                                                                                               |https://scholar.google.com/citations?hl=en&user=Kk6Y__gAAAAJ|         37|          23|      3756|       1341|            39|             73|9232372474901007921|
34234|d0LISE4AAAAJ|Éric Tanter                               |Professor of Computer Science, University of Chile                                                                          |uchile   |Programming LanguagesSoftware Engineering                                                                               |https://scholar.google.com/citations?hl=en&user=d0LISE4AAAAJ|         35|          22|      3767|       1476|            43|             86|9232372474901007921|
34457|kdP_2ZQAAAAJ|Jaime Campos, Ph.D.                       |Departamento de Geofísica, Universidad de Chile                                                                             |uchile   |SismologíaPeligro y Riesgo SísmicoGeodinámicaSismotectónica                                                             |https://scholar.google.com/citations?hl=en&user=kdP_2ZQAAAAJ|         29|          22|      3710|       1701|            33|             43|9232372474901007921|
34611|JdXR024AAAAJ|Sergio Mora                               |Profesor de Farmacología y Neurociencias, Facultad de Medicina, Universidad de Chile                                        |uchile   |farmacologíacomportamientoaprendizajeansiedaddepresión                                                                  |https://scholar.google.com/citations?hl=en&user=JdXR024AAAAJ|         30|          21|      3681|       1593|            41|             64|9232372474901007921|
34837|9eI25jMAAAAJ|Marcel G. Clerc                           |Professor of Physics, FCFM, Department of University of Chile                                                               |uchile   |Nonlinear PhysicsNon-equilibrium PhysicsNonlinear dynamics                                                              |https://scholar.google.com/citations?hl=en&user=9eI25jMAAAAJ|         35|          23|      3638|       1985|            68|            104|9232372474901007921|
35034|LZd9fu8AAAAJ|Ramiro O Bustamante                       |Full Professor, Universidad de Chile                                                                                        |uchile   |Plant EcologyPlant invasion BiologyBiodiversity Coservation                                                             |https://scholar.google.com/citations?hl=en&user=LZd9fu8AAAAJ|         34|          20|      3636|       1525|            47|             81|9232372474901007921|
35208|njP0LAwAAAAJ|Mehrdad Yazdani-Pedram                    |Universidad de Chile                                                                                                        |uchile   |Polymer and Materials Science                                                                                           |https://scholar.google.com/citations?hl=en&user=njP0LAwAAAAJ|         32|          20|      3600|       1620|            37|             74|9232372474901007921|
35391|kNh7fPsAAAAJ|Nicolas Dutzan                            |Assistant Professor, Faculty of Dentistry, University of Chile                                                              |uchile   |Oral Mucosal ImmunologyPeriodontology                                                                                   |https://scholar.google.com/citations?hl=en&user=kNh7fPsAAAAJ|         22|          20|      3552|       2363|            24|             26|9232372474901007921|
