idgs,id,nombre,atributos,correo,intereses,titulo,autores,revista,citado por,año
yxXZP4QAAAAJ,uct,David Tempo,"Universidad Católica de Temuco (UCT), Temuco, Chile",,,"Gravitational solitons, hairy black holes and phase transitions in BHT massive gravity","A Pérez, D Tempo, R Troncoso","Journal of High Energy Physics 2011 (7), 1-18, 2011",25,2011
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"Clasificación y caracterización de la flora y vegetación de los humedales de la costa de Toltén (IX Región, Chile)","E Hauenstein, M González, F Peña-Cortés, A Muñoz-Pedreros","Gayana. Botánica 59 (2), 87-100, 2002",117,2002
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"Effects of local land-use on riparian vegetation, water quality, and the functional organization of macroinvertebrate assemblages","P Fierro, C Bertrán, J Tapia, E Hauenstein, F Peña-Cortés, C Vergara, ...","Science of the Total Environment 609, 724-734, 2017",115,2017
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Formación del profesorado en educación intercultural en América Latina. El caso de Chile,"SEQ Millán, D Quilaqueo, P Lepe-Carrión, E Riquelme, M Guitiérrez, ...","Revista electrónica interuniversitaria de formación del profesorado 17 (2 …, 2014",73,2014
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"Dinámica del paisaje para el período 1980-2004 en la cuenca costera del Lago Budi, Chile: Consideraciones para la conservación de sus humedales","F Peña-Cortés, G Rebolledo, K Hermosilla, E Hauenstein, C Bertrán, ...","Ecología Austral 16 (2), 183-196, 2006",70*,2006
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"Landscape composition as a determinant of diversity and functional feeding groups of aquatic macroinvertebrates in southern rivers of the Araucanía, Chile","P Fierro, C Bertrán, M Mercado, F Peña-Cortés, J Tapia, E Hauenstein, ...","Latin American Journal of Aquatic Research 43 (1), 186-200, 2015",56,2015
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"Heavy metals in the liver and muscle of Micropogonias manni fish from Budi Lake, Araucania Region, Chile: potential risk for humans","J Tapia, L Vargas-Chacoff, C Bertrán, F Peña-Cortés, E Hauenstein, ...","Environmental monitoring and assessment 184 (5), 3141-3151, 2012",50,2012
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,Benthic macroinvertebrate assemblages as indicators of water quality applying a modified biotic index in a spatio-seasonal context in a coastal basin of Southern Chile,"P Fierro, C Bertrán, M Mercado, F Peña-Cortés, J Tapia, E Hauenstein, ...","Revista de Biología Marina y Oceanografía 47 (1), 23-33, 2012",49,2012
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"Determinación del nivel de antropización de humedales como criterio para la planificación ecológica de la cuenca del lago Budi, IX Región de La Araucanía, Chile","F Peña-Cortés, P Gutiérrez, G Rebolledo, M Escalona, E Hauenstein, ...","Revista de Geografía Norte Grande, 75-91, 2006",46,2006
ki2cCE8AAAAJ,uct,Fernando A. Peña Cortés,"Profesor Titular, Laboratorio de Planificación Territorial. Universidad Católica de Temuco",,,"A study of the geographic distribution of swamp forest in the coastal zone of the Araucanía Region, Chile","F Peña-Cortés, J Pincheira-Ulbrich, C Bertrán, J Tapia, E Hauenstein, ...","Applied Geography 31 (2), 545-555, 2011",45,2011
