titulo,autores,revista
"Catecismo patrimonial: convicción, disciplina y traducción",JDEN CONCHA,
RIESGO GLOBAL V/S DESARROLLO LOCAL.,J de NORDENFLYCHT,
PROPUESTAS DESDE ICOMOS-Chile PARA EL DEBATE DE PROBLEMÁTICAS EMERGENTES EN LOS SITIOS DE PATRIMONIO MUNDIAL.,J de NORDENFLYCHT,
"Heritage catechism: conviction, discipline and translation",JDEN CONCHA,
"El reino chileno del terror: la prensa estadounidense y la controversia de Tacna y Arica, 1925-1926",NL Sierra,"Revista estudios hemisféricos y polares 2 (2), 1-25, 2011"
"Housewives at the end of the world. Chilean women living in Antarctica, 1984–1986",N Llanos,"The Polar Journal 9 (2), 358-370, 2019"
Populating Antarctica: Chilean families in the frozen continent,N Llanos,"Anthropocene Antarctica, 156-171, 2019"
Estudiantes y Antártica: percepciones sobre el continente helado a través de dibujos,"MJ Fernández, NL Sierra, PM González","Revista Estudios Hemisféricos y Polares 9 (4), 65-79, 2018"
Algunas ideas en torno al Anti-Americanismo chileno durante la primera mitad del siglo XX,NL Sierra,"Revista Estudios Hemisféricos y Polares 8 (1), 12-26, 2017"
"El Piloto Luis Pardo Villalón: Visiones desde la prensa, 1916","C León Wöppke, M Jara Fernández, G Gaete Coddou, L Arriagada Avilés, ...","LW Editorial-Fundación Valle Hermoso-Centro de Estudios Hemisféricos y Polares, 2015"
"La Doctrina Monroe está más viva que nunca. Theodore Roosevelt, Chile, y las relaciones interamericanas un siglo atrás",NL Sierra,"Revista Estudios Hemisféricos y Polares 4 (3), 46-68, 2013"
"La ‘educación antártica’en la asignatura de Historia, Geografía y Ciencias Sociales en Chile, 1988-2022. Investigaciones y diagnósticos sobre su inclusión en el currículum formal","PM González, MJ Fernández, NL Sierra, NF Cárdenas","Revista Estudios Hemisféricos y Polares 13 (1), 70-99, 2022"
Educación antártica chilena,"MJ Fernández, NL Sierra, MA Cuevas, PM González, JG Alarcón, ...","Revista Estudios Hemisféricos y Polares 12 (2), 118-123, 2021"
"“No puede decirse que nuestra reclamación sea muy sólida”. La expansión británica en los espacios antárticos, 1904-1917",NL Sierra,"Estudios Hemisféricos y Polares 11 (1), 1-18, 2020"
10 Populating Antarctica,N Llanos,"Anthropocene Antarctica: Perspectives from the Humanities, Law and Social …, 2019"
La Inacción de Estados Unidos en la Antártica durante la era heroica. Una mirada desde las sociedades científicas norteamericanas,NL Sierra,"Revista Sophia Austral, 55-70, 2018"
La inacción de Estados Unidos en la Antártica durante la era heroica. Una mirada desde las sociedades científicas norteamericanas,N Llanos Sierra,"Sophia Austral, 55-70, 2018"
STUDENTS AND ANTARCTICA: PERCEPTIONS OF THE WHITE CONTINENT THROUGH DRAWINGS,"M Jara Fernandez, N Llanos Sierra, P Mancilla Gonzalez","REVISTA ESTUDIOS HEMISFERICOS Y POLARES 9 (4), 65-79, 2018"
Algunas ideas en torno al anti-americanismo chileno durante la primera mitad del siglo XX Some ideas on chilean anti-americanism during the first half of the twentieth century,NL Sierra,"Centro de Estudios Hemisféricos y Polares, 2017"
SOME IDEAS ON CHILEAN ANTI-AMERICANISM DURING THE FIRST HALF OF THE TWENTIETH CENTURY,N Llanos Sierra,"REVISTA ESTUDIOS HEMISFERICOS Y POLARES 8 (1), 12-26, 2017"
"“Colonos Chilenos en la Antártica: La Fundación de Villa las Estrellas desde la Perspectiva de Estados Unidos, 1984”.",NL Sierra,"XIII Seminario Argentino Chileno, VI Seminario Cono Sur De Ciencias Sociales, 2015"
Evocando a Oscar Pinochet de la Barra,"M Jara Fernández, A Aguayo Lobo, D Torres, ML Carvallo, P Eberhard, ...","LW Editorial-Fundación Valle Hermoso-Centro de Estudios Hemisféricos y Polares, 2015"
"La Doctrina Monroe está más viva que nunca. Theodore Roosevelt, Chile, y las Relaciones Interamericanas un siglo atrás The Monroe Doctrine is more alive than ever before …",NL Sierra,"Centro de Estudios Hemisféricos y Polares, 2013"
"El Año Geofísico Internacional en la perspectiva histórica chilena, 1954-1958","P Mancilla González, C León Wöppke, A Aguayo Lobo, N Llanos Sierra, ...","Puntángeles. Universidad de Playa Ancha, 2012"
La privatización de la educación en Chile: análisis de los discursos del profesorado y de la dirección de los centros sobre la calidad de la educación y la rendición de cuentas,"IE Reyes, A Akkari","Revista de Sociología de la Educación-RASE 10 (3), 363-380, 2017"
Estudio sobre la Calidad de la Educación en Escuelas de Barrios Periféricos de Santiago de Chile:¿ Una Justicia ante la Marginalización Social?,IE Reyes,"Revista Internacional de Educación para la Justicia Social 9 (2), 13-27, 2020"
La privatisation du système scolaire chilien: étude de cas sur l'école privée subventionnée pour des populations défavorisées,IER Cayul,
La privatisation du système scolaire chilien: étude de cas sur l'école privée subventionnée pour des populations défavorisées,IE Reyes Cayul,"University of Geneva, 2018"
Doctoriales des EDSE,"L Michel, S Revaz, A Shafei, Z Serir, G Thivolle, M Charmillot, K Balslev, ...",
La privatización del sistema educativo chileno desde 1973 hasta nuestros días,IR Cayul,
La privatisation du système éducatif chilien depuis 1973 jusqu'à nos jours,IE Reyes Cayul,"University of Geneva, 2013"
El espacio común de educación superior y conocimiento: una nueva dimensión estratégica en las relaciones entre la Unión Europea y la América Latina (1994-2012),DOG Miranda,
"Asimetría, poder y construcción de género, ¿un camino para conseguir igualdad?","D Miranda, M Freire, M Jervis","Revista de Estudios Políticos y Estratégicos 7 (1), 104-121, 2019"
Characterization of gross domestic expenditure on r&d in latin american countries during 2008-2017,ML Cardozo,"Turkish Journal of Computer and Mathematics Education (TURCOMAT) 12 (5), 684-688, 2021"
GLOBAL KNOWLEDGE? COOPERATION AND CONFLICT IN THE POST-HEGEMONIC ERA: FACING THE PANDEMIC CRISIS,DG Miranda,"Analele Universității din București. Științe Politice [Annals of the …, 2021"
¿ Discursos divergentes? Encrucijadas sobre política educativa y globalización. Los casos de Chile y Venezuela/[en] Divergent discourses? Crossroads on education policy and …,DG Miranda,"Politica y Sociedad 59 (1), 1-16, 2022"
¿ Discursos divergentes? Encrucijadas sobre política educativa y globalización. Los casos de Chile y Venezuela,DG Miranda,"Política y sociedad 59 (1), 9, 2022"
Pandemia y Crisis Global,"DG Miranda, M Yopo, O Puccio, LM Marcano, M Escudero, R Funk, ...","https://www.editorialhammurabi.com/product/pandemia-y-crisis-global/, 2021"
Characterization of gross domestic expenditure on R&D in Latin American countries during 2008-2017,"M Luna Cardozo, A Guerrero-Luzuriaga, DG Miranda, HR Prado López, ...","Karadeniz Technical University, 2021"
POLÍTICA GLOBAL,DG Miranda,
Género y etnicidad. Un análisis crítico de las políticas de equidad y los resultados de la prueba PISA en Brasil y México,"PTS Miranda, D. G., & Torres Torres","Revista Iberoamericana de Educación 1 (84), 33-66, 2020"
"Revista de Estudios Políticos y Estratégicos. Vol. 7, Nº1","R Gálvez, P Navia, RG Săftescu, LD Mezzadra, M Muñoz Asenjo, ...","Programa de Políticas Públicas, Universidad Tecnológica Metropolitana, 2019"
Alteridad y Territorio. Orígenes y transformación en el conflicto chileno-mapuche,DG Miranda,"Conflictos Territoriales en América Latina, 359, 2017"
"Integración y Educación Superior, una Encrucijada Birregional","D Miranda, F Aldecoa","Construyendo el Espacio Común de Educación Superior, Ciencia, Tecnología e …, 2016"
El Origen Político de los Espacios Comunes de Conocimiento. ¿Es posible la convergencia?,DG Miranda,"Construyendo El Espacio Común de Educación Superior, Ciencia, Tecnología e …, 2016"
"La Unión Europea, América Latina y el Caribe, una alianza estratégica global para la sociedad del conocimiento",DG Miranda,"CELARE / USEK 1, 301, 2015"
El Espacio Común de Educación Superior y Conocimiento Unión Europea-América Latina y el Caribe. Desafíos Institucionales para un camino común,D Miranda,"Nuevos Avances hacia el Espacio Eurolatinoamericano para la Educación …, 2015"
El Discurso de la otredad. Tensión y Distensión en la relaciones en las relaciones sociopolíticas de interdependencia,DG Miranda,"Exemplum 6 (1), 98, 2014"
El espacio común de educación superior y conocimiento: una nueva dimensión estratégica en las relaciones entre la Unión Europea y la América Latina (1994-2012),DO González Miranda,"Universidad Complutense de Madrid, 2013"
La construcción del Espacio Eurolatinoamericano de Educación Superior. Propuestas para un proceso de institucionalización,DG Miranda,"La Cumbre de Cádiz y las relaciones de España con América Latina 1, 358, 2013"
"Preludio y fuga en mi menor, un ecercamiento a el clavecín bien temperado de JS Bach",DO González Miranda,"Valparaíso Pontificia Universidad Católica de Valparaíso, 0"
Antioxidant and Anti-Proliferative Activity of Essential Oil and Main Components from Leaves of Aloysia polystachya Harvested in Central Chile,"AC Moller, C Parra, B Said, E Werner, S Flores, J Villena, A Russo, ...","Molecules 26 (1), 131, 2020"
Antifungal Activity of Essential Oil and Main Components from Mentha pulegium Growing Wild on the Chilean Central Coast,"I Montenegro, B Said, P Godoy, X Besoain, C Parra, K Díaz, A Madrid","Agronomy 10 (2), 254, 2020"
Identification of predisposition and progression gastric cancer biomarkers in Latinos,"AP Estrada-Florez, P Lott, T Toal, N Halmai, E Quino, A Poceros-Coba, ...","Cancer Research 82 (12_Supplement), 2274-2274, 2022"
CDH1 and CTNNA1 variants with incomplete penetrance in hereditary gastric cancer Chilean families,"G Molina, C Parra, NB Halmai, AP Estrada, A Poceros, P Lott, ...","Cancer Research 82 (12_Supplement), 5899-5899, 2022"
Association between the consumption of meat and carbonated drinks and early onset gastric cancer in Chilean patients,"C Parra, G Molina, C Coo, J López, MS Martín, J Siche, ...","Cancer Research 82 (12_Supplement), 5943-5943, 2022"
A germline CTNNA1 variant in a large Chilean family with hereditary diffuse gastric cancer,"G Molina, A Estrada, A Poceros, C Parra, O Torres, N Landeros, ...","Cancer Research 81 (13_Supplement), 800-800, 2021"
"Caracterización de bases de Schiff derivadas de 2-aminofenol, usando RMN 1D y 2D","S Zamorano, J Camus, A Orellana, M Osorio","Revista de la Sociedad Química del Perú 76 (2), 187-193, 2010"
Síntesis y caracterización RMN 1D y 2D de derivados sulfurados de la 1-fenil-3-metil-2-pirazolín-5-ona y su potencial capacidad ligante,"S Zamorano, J Camus","Revista de la Sociedad Química del Perú 81 (1), 24-32, 2015"
"Determinación de la estructura de bases de Schiff derivadas de 2-aminofenol, nitro y flúor sustituidas, utilizando la RMN 1D y 2D","S Zamorano, J Camus","Revista de la Sociedad Química del Perú 77 (1), 27-34, 2011"
Síntesis y caracterización RMN 1D y 2D de derivados oxigenados de la 1-fenil-3-metil-2-pirazolín-5-ona y su potencial capacidad ligante,"S Zamorano, J Camus","Revista de la Sociedad Química del Perú 79 (3), 265-271, 2013"
Síntesis y caracterización por EPR de complejos de cobre y vanadilo derivados de la pirazolona,"S Zamorano, J Camus, A Meghea","Revista de la Sociedad Química del Perú 74 (3), 182-189, 2008"
Synthesis and EPR characterization of copper and Vanadyl complexes derived from pyrazolone,"S Zamorano, J Camus, A Meghea","Revista de la Sociedad Química del Perú 74 (3), 182-189, 2008"
Estudio espectroscópico RMN bidimensional de bases de Schiff derivadas de la 4-Aminoantipirina,"S Zamorano, J Camus, M Zavala","Revista de la Sociedad Química del Perú 83 (2), 249-259, 2017"
Análisis estructural RMN 1D y 2D del 1-fenil-3-metil-2-pirazolín-5-ona-4-etoxicarbonil: Cálculo de constante de fuerza y longitud de enlace del par uo en el complejo de uranilo,"S Zamorano, J Camus, E Pizarro","Revista de la Sociedad Química del Perú 81 (4), 339-349, 2015"
Impresos digitales competitivo delicado cojín con letras Sequin floralesRMN 1D y 2D de derivados sulfurados de la 1-fenil-3-metil-2-pirazolÃn-5-ona y su potencial capacidad ligante,"S Zamorano, J Camus","Revista de la Sociedad QuÃmica del PerÃº 81 (1), 24-32, 2015"
Nombres personalizados de marco de la ventana de aluminio de bastidor de aluminio de maderaRMN 1D y 2D de derivados sulfurados de la 1-fenil-3-metil-2-pirazolÃn-5-ona y su …,"S Zamorano, J Camus","Revista de la Sociedad QuÃmica del PerÃº 81 (1), 24-32, 2015"
Modelo de carrete de cable de extensión de la UL 1025RMN 1D y 2D de derivados sulfurados de la 1-fenil-3-metil-2-pirazolÃn-5-ona y su potencial capacidad ligante,"S Zamorano, J Camus","Revista de la Sociedad QuÃmica del PerÃº 81 (1), 24-32, 2015"
Taller de la venta de bodega en la azotea de aire Ventilador Wind-Driven Turbina de aluminio y acero inoxidableRMN 1D y 2D de derivados sulfurados de la 1-fenil-3-metil-2 …,"S Zamorano, J Camus","Revista de la Sociedad QuÃmica del PerÃº 81 (1), 24-32, 2015"
Comercio al por mayor puerto USB plegable tipo C+ Cargador de paredRMN 1D y 2D de derivados sulfurados de la 1-fenil-3-metil-2-pirazolÃn-5-ona y su potencial capacidad ligante,"S Zamorano, J Camus","Revista de la Sociedad QuÃmica del PerÃº 81 (1), 24-32, 2015"
Synthesis and characterization RMN 1D and 2D of the oxygenated derivatives of the 1-phenyl-3-methyl-2-pyrazoline-5-ona and their ligand potential capacity; Sintesis y …,"S Zamorano, J Camus","Revista de la Sociedad Quimica del Peru 79, 2013"
Diseño y análisis modal de una máquina despepitadora de jamaica,"SB González, SL Zamorano, GV Llamas, JM Brito","Ciencias Holguín 16 (2), 1-14, 2010"
"Reseña de"" La Producción Social de Objetos Técnicos Agrícolas"" de Antonio Arellano Hernández",S Zamorano,"Convergencia. Revista de Ciencias Sociales 7 (21), 327-335, 2000"
TRIMETHYLPLATINUM (IV) COMPLEXES WITH SCHIFF BASES OBTAINED FROM THE 4-AMINOANTIPYRINE,"S Zamorano, A Nettle","BOLETIN DE LA SOCIEDAD CHILENA DE QUIMICA 38 (1), 55-62, 1993"
STRUCTURAL ANALYSIS NMR 1 D AND 2D OF THE 1-PHENYL-3-METHYL-2-PIRAZOLIN-5-ONA-4-ETOXICARBONIL. CALCULATION OF FORCE CONSTANT AND THE BOND LENGTH OF THE PAIR UO IN THE URANYL …,"S Zamorano, J Camus, E Pizarro",
Principales factores asociados al estrés laboral de los bibliotecólogos en Chile,GS Barría-González,"Serie Bibliotecología y Gestión de Información, 2012"
Participación ciudadana a través de la Red de Bibliotecas Populares del Gran Valparaíso (Chile),GB González,"Serie Bibliotecología y Gestión de Información, 1, 2018"
La organización del conocimiento en la web 2.0 en bibliotecas especializadas en Chile: su valor público,"GB Gmario, MR Marambio","F@ ro: revista teórica del Departamento de Ciencias de la Comunicación, 4, 2012"
"Memorias negadas, opresión social y arqueología de la subjetividad",GB González,"Revista F@ ro 1 (31), 2020"
Archivo popular de Rodelillo como instrumento de construcción de memoria social,"ÁAG Farías, FO Osori, GB González","F@ ro: revista teórica del Departamento de Ciencias de la Comunicación 1 (31), 2, 2020"
Publicaciones científicas Ifop 2017,"compiladora Barría González, Ghislaine","Instituto de Fomento Pesquero, 2017"
"Biblioteca Recuperada: La batalla por la memoria. Valparaíso, 1973","L San Martín, K Ballesteros, T de Armas, R Castillo, C Barrenechea, ...","Universidad de Playa Ancha, Valparaíso-Chile, 2017"
LA REPRESENTACIÓN DEL CONOCIMIENTO EN LA RDA: UN ANÁLISIS DE GÉNERO,"GB González, MR Marambio","Revista Ciencias de la Documentación, 65-80, 2016"
Impacto de las publicaciones científicas del Instituto de Fomento Pesquero período 2012-2014,G Barría González,"Instituto de Fomento Pesquero, 2014"
La organización del conocimiento en la web 2.0 en bibliotecas especializadas en Chile: su valor público,"GB González, MR Marambio","Revista F@ ro 1 (15), 2012"
Fundamento teórico y conceptual de las Bibliotecas Populares bajo la perspectiva de la Bibliotecología. Muestra de estas organizaciones en la Región Metropolitana y Provincia …,"Y Barría González, Ghislaine , Catalán-Chávez, C Silva Picón, ...","Universidad de Playa Ancha de Ciencias de la Educación, 1991"
Derechos humanos y multiculturalismo progresivo,GB González,
Enseñanza geográfica y desarrollo barrial. Una mirada desde la geografía social crítica,"J Gallastegui-Vega, I Rojas-Rubio, R Pérez-Muñoz","Revista de Geografía Norte Grande, 31-50, 2018"
"Habitar el Valparaíso neoliberal: vivienda, hacinamiento y pobreza como marco de la pandemia","IR Rubio, PN Novack, CV Constela, RH Dattwyler","O Social em Questão 23 (48), 25-52, 2020"
"PRODUCCIÓN DE ESPACIO Y SABERES TRADICIONALES EN CONTEXTO URBANO. EXPERIENCIA DE EDUCACIÓN MAPUCHE EN LA CIUDAD DE VALPARAÍSO, CHILE","IR Rubio, RP Muñoz, IC Millán","Revista Signos Geográficos 2, 1-19, 2020"
Informal housing and territorial organizations in Latin America,"F Vergara-Perucich, X Fuster-Farfan, IR Rubio, RH Dattwyller, SR Quiroz, ...","REVISTA DE GEOGRAFIA NORTE GRANDE, 5-14, 2022"
Vivienda informal y las organizaciones territoriales en América Latina,"F Vergara-Perucich, X Fuster-Farfán, I Rojas Rubio, R Hidalgo Dattwyller, ...","Revista de Geografía Norte Grande, 5-14, 2022"
Reconocimiento póstumo al profesor Joan Pagés Blanch,"I Rojas Rubio, R Hidalgo Dattwyler, S Rincón Quiroz, ...","Revista de Geografía Norte Grande, 5-8, 2021"
"Towards a new extractivist cycle? Revisiting the relationship between communities, conflicts and extractive industries","F Irarrazaval, IR Rubio, RH Dattwyller, SR Quiroz, JC Alvarez, ...","REVISTA DE GEOGRAFIA NORTE GRANDE, 5-12, 2021"
Possibilities in the current context,"F Lizana, I Rubio, R Hidalgo","REVISTA DE GEOGRAFIA NORTE GRANDE, 5-7, 2021"
"¿ Hacia un nuevo ciclo extractivista? Revisitando la relación entre comunidades, conflictos e industrias extractivas","F Irarrázaval, I Rojas Rubio, R Hidalgo Dattwyller, S Rincón Quiroz, ...","Revista de Geografía Norte Grande, 5-11, 2021"
Posthumous recognition to Professor Joan Pages Blanch,"I Rojas Rubio, R Hidalgo Dattwyler, S Rincon Quiroz, ...","REVISTA DE GEOGRAFIA NORTE GRANDE, 5-8, 2021"
Posibilidades en el contexto actual,"F Lizana, I Rubio, R Hidalgo","Revista de Geografía Norte Grande, 5-7, 2021"
Justicia y reconocimiento socio-espacial a escala barrial: contribuciones teóricas para una reflexión ética en geografía,I Rojas,"Ateliê Geográfico 14 (3), 100-115, 2020"
La Exposición a la Contaminación por Humo de Leña Durante el Período Pregestacional de la Rata tiene Efectos sobre el Volumen de la Placenta y el Tamaño del Feto,"P Salinas, C Veuthey, I Rubio, A Bongiorno, I Romero","International Journal of Morphology 38 (5), 1356-1364, 2020"
"Análisis de conectividad y accesibilidad de las provincias de Petorca, San Felipe y Los Andes, Región de Valparaíso.","IR Rubio, RP Muñoz, JPC Muñoz","Revista Geográfica de Valparaíso, 2019"
Reconocimiento y espacio: una mirada a contextos de educación urbano-mapuche en la ciudad de Valparaíso,I Rojas Rubio,"Universidad Academia de Humanismo Cristiano, 2019"
Geographical education and neighborhood development. A look from the critical social Geography,"J Gallastegui-Vega, I Rojas-Rubio, R Perez-Munoz","REVISTA DE GEOGRAFIA NORTE GRANDE, 31-50, 2018"
Evaluación de conocimientos y habilidades en el areá de Geografía en estudiantes de 8vo. Básico y 4to. Medio,"J Gallastegui-Vega, J Vergara-Núñez, I Rojas-Rubio, J Gálea-Alarcón, ...","Revista de Geografía Norte Grande, 149-168, 2018"
Evaluation of knowledge and skills in the area of Geography in 8th Basic and 4th Middle students,"J Gallastegui-Vega, J Vergara-Nunez, I Rojas-Rubio, J Galea-Alarcon, ...","REVISTA DE GEOGRAFIA NORTE GRANDE, 149-168, 2018"
Aprehender el espacio geográfico: del conocimiento intuitivo al concientizado,"JG Vega, IR Rubio","Universidad de Playa Ancha, 2016"
Enseñanza-aprendizaje del paisaje urbano. Observación directa e itinerarios,"JG Vega, IR Rubio","Boletín de Geografía, 32-51, 2015"
Autopercepción de las competencias de creatividad e innovación en estudiantes universitarios en ciencias de la salud: factores de desarrollo,"P Marcone Dapelo, MF Agudelo Vizcaíno, M Rojas López, ...","Revista española de orientación y psicopedagogía, 2020"
Realidad aumentada para el aprendizaje en estudiantes de Fonoaudiología de la Universidad de Playa Ancha,"MF Agudelo Vizcaíno, JA González Campos","Educación Médica Superior 33 (2), 2019"
Augmented reality for the learning of Phonoaudiology students from University of Playa Ancha,"MFA Vizcaíno, JAG Campos","Revista Cubana de Educacion Medica Superior 33 (2), 1-16, 2019"
Mujer contra mujer: misoginia femenina en comentarios de noticias en Facebook,"MÁ Miranda Bustamante, MF Agudelo Vizcaíno","Revista de Comunicación 20 (2), 243-257, 2021"
Percepción sobre Plataformas Digitales como recurso de aprendizaje en estudiantes de Fonoaudiología,"MFA Vizcaíno, MPG Vega, CA Campos, JS Tavilo, ASP López","Trends and challenges in higher education in Latin America, 94, 2018"
Percepción sobre las TIC como recurso de aprendizaje en estudiantes de Enfermería,"MPG Vega, CA Campos, JS Tavilo, MFA Vizcaíno","Books of abstracts CIVINEDU 2017: 1st International Virtual Conference on …, 2017"
"Téchne y técnica, ousía y materia",EM Mickle,"Revista Hypnos, 1998"
La amistad entre los desiguales en la ética aristotélica,EM Mickle,"Revista de Filosofía de la Universidad de Costa Rica, 2008"
Aristóteles y Agustín: el tiempo como medida y el tiempo como espera,EM Mickle,"Revista Hypnos, 2006"
La crítica popperiana a la justificación teórica del historicismo político,EM Mickle,"Universitas philosophica 19 (38), 295-314, 2002"
Dos concepciones de justicia política: Platon y Rawls,EM Mickle,"Revista Hypnos, 2012"
Alcances a la noción de amistad en Aristóteles,EM Mickle,"Revista Hypnos, 2009"
UNDERSTANDING THE NOTION OF FRIENDSHIP IN ARISTOTLE,EM Mickle,"HYPNOS, 61-72, 2009"
Aspectos de la crítica popperiana a Platón,EM Mickle,"Revista Hypnos, 2003"
"Liberalismo político, tolerancia y unidade civil: análisis crítico del pensamiento de Rawls",EM Mickle,"Revista Hypnos, 1999"
PLATON Y RAWLS,EM MICKLE,
"Valparaíso, patrimonio de la eterna decadencia: decadentismo, panoptismo y nihilismo en la literatura porteña","BR Castro, V Sentis Herrmann","HYBRIS, Revista de Filosofía 7, 183-214, 2016"
Tierra de nadie: Escenas del desastre en la dramaturgia sobre Valparaíso,"VS Herrmann, AC Cáceres","Contextos: Estudios de humanidades y ciencias sociales, 7, 2021"
"Huachos, rotos y putas. La dramaturgia de Valparaíso frente a la cuestión social","V Sentis Herrmann, B Rojas Castro","Nueva revista del Pacífico, 301-324, 2020"
"Escenificando la tragedia del exilio: L´ Attente/La espera, de Miguel Retamal, una dramaturgia chilena en Montreal",VS Herrmann,"Palimpsesto 10 (17), 2020"
"Entrevista a Eloísa Peña, precursora del teatro profesional porteño",V Sentis Herrmann,"Artescena, 1-7, 2018"
Formación actoral en Valparaíso: Cuando la educación teatral universitaria es regulada por el Mercado1,V Sentis Herrmann,"Argus-a  Artes & Humanidades, 1-17, 2017"
Voces políticas desde el puerto: la dramaturgia de Valparaíso en el siglo XXI,"VS Herrmann, LS González","Apuntes de Teatro, 51-69, 2017"
Historia del Teatro en Valparaíso 2000- 2010: El renacer de la Formación Universitaria,V Sentis Herrmann,
"De Ricos y Avaros, subversivos postmodernos: una actualización de El Avaro de Molière para criticar el Chile actual",VS Herrmann,"Revista Argus-a  Artes & Humanidades., 1-17, 2015"
La sobre hibridación de un latinoamericano en el exilio: Alberto Kurapel y el arte performático como estrategia de supervivencia.,V Sentis Herrmann,"El Teatro-performance de Alberto Kurapel. Acercamientos críticos, p.251-257, 2013"
Historia del Teatro en Valparaíso 1950-2000: Un recorrido por las Escuelas y Compañías de Teatro más importantes del periodo,V Sentis Herrmann,
Dibujos en la arena: la reconstitución de un proceso de investigación histórica sobre 50 años de teatro en Valparaíso= Drawings in the sand: the reconstruction of a historical …,V Sentis Herrmann,"Cátedra de Arte, 122-132, 2012"
Una alegría que no llegó: El teatro porteño durante la Transición Democrática chilena,V Sentis Herrmann,"La Escalera-Anuario de la Facultad de Arte, 121-133, 2011"
Noticias de desencanto la dramaturgia de Marco Antonio de la Parra durante la transición democrática chilena 1990-1998,V Sentis Herrmann,"Universidad de Valencia, España, 2000"
Tierra de nadie: escenas del desastre en la dramaturgia sobre Valparaíso1,"A Candia-Cáceres, VS Herrmann",
VOCES DE VIENTO EN EL PUERTO DE MIS DOLORES: UNA MIRADA A LA PRESENCIA DEL EXILIO EN LA DRAMATURGIA SOBRE VALPARAÍSO,VS Herrmann,
La evolución política del Partido Socialista de Chile durante la primera parte de la dictadura (1973-1979),M Rojas Casimiro,"Revista Divergencia 3 (5), 9-34, 2014"
La renovación de la izquierda chilena durante la dictadura,M Rojas Casimiro,"Mago Editores, 2017"
Los espacios de reflexión en el exilio como dinamizadores y “agentes” de la renovación socialista (1973-1990): Chile-América y el Instituto para el Nuevo Chile,"M Rojas Casimiro, C Neves","Izquierdas, 1-23, 2022"
Los espacios de reflexión en el exilio como dinamizadores y “agentes” de la renovación socialista (1973-1990): Chile-América y el Instituto para el Nuevo Chile,"MR Casimiro, C Neves","Revista Izquierdas, 24, 2022"
Participación electoral y elección de Gobernador en la Región de Valparaíso: el decisivo voto de los territorios bajo problemáticas socioambientales,"M Rojas Casimiro, NC Athens, FG Martín, TK Ewertz, MR Mancilla, ...","Observatorio de Participación Social y Territorio, Facultad de Ciencias …, 2021"
El faccionalismo en el Partido Socialista de Chile durante los años ochenta,M Rojas Casimiro,"Izquierdas, 4759-4792, 2020"
"Reseña libro: La izquierda chilena durante la dictadura, Piso Diez Ediciones, 2017, 538 pp.",,"Izquierdas, 2019"
La evolución de la izquierda chilena durante la dictadura militar (1973-1990),M Rojas Casimiro,"Universidad Complutense de Madrid, 2014"
La evolución de la izquierda chilena durante la dictadura militar (1973-1990),M Rojas Casimiro,"Universidad Complutense de Madrid, 2013"
La división del partido socialista de Chile en la primera etapa de la dictadura (1973-1979,M Rojas Casimiro,"Revista Divergencia, 2013"
Sistema de partidos chileno post dictadura: ¿un nuevo cleavage?,M Rojas Casimiro,"Global Affairs, 2008"
Sistema de partidos chileno: bajo el prisma de los cleavages,M Rojas Casimiro,"Global Affairs, 2008"
La mala leche que las parió: ciudadanías neoliberales en la poesía chilena del siglo XXI,"B Hernández, F Simon","Revista chilena de literatura, 209-234, 2017"
Homo feminae lupus: la representación de una ciudadanía antropofágica en la poesía chilena de posgolpe,FS Salinas,"Acta literaria, 163-183, 2016"
Hacia la representación de una ciudad épico-queer: Diego Ramírez Gajardo,F Simón,"Aisthesis, 203-215, 2012"
Poéticas de la razón aporofóbica: testimonios de la prisión política y la criminalización de la pobreza en el Chile contemporáneo,F Simon,"Revista de Humanidades, 237-264, 2021"
LA MALA LECHE QUE LAS PARIO: NEOLIBERAL CITIZENSHIPS IN THE CHILEAN POETRY OF THE TWENTY-FIRST CENTURY,"B Hernandez, F Simon","REVISTA CHILENA DE LITERATURA, 209-234, 2017"
Seducciones homoeróticas de medio siglo: estrategias de representación del deseo en la poesía de Jorge Cáceres y Jorge Onfray,F Simon,"Nomadías, 2017"
Cuánta destrucción en los nidos americanos/cuántas patrias arruinadas y marchitas: poéticas de infancia en el Chile del siglo XXI,"B Hernández, FS Salinas","Mitologías hoy 15, 297-315, 2017"
"DE VÍRGENES, DIVAS Y BARBIES ABYECTAS: RETÓRICAS TRAVESTIDAS EN LA POESÍA CHILENA DE POSGOLPE",F Simon,"PONTIFICIA UNIVERSIDAD CATÓLICA DE CHILE, 2016"
Towards the representation of an epic-queer city: Diego Ramírez Gajardo [Hacia la representación de una ciudad épico-queer: Diego Ramírez Gajardo],F Simón,
Clemens FRANKEN y Magda SEPÚLVEDA. Tinta de Sangre. Narrativa policial chilena del siglo XX,F Simón,"Alpha (Osorno), 233-236, 2010"
Autopercepción de las competencias de creatividad e innovación en estudiantes universitarios en ciencias de la salud: factores de desarrollo,"P Marcone Dapelo, MF Agudelo Vizcaíno, M Rojas López, ...","Revista española de orientación y psicopedagogía, 2020"
Análisis Psicométrico de la Adaptación Chilena del Cuestionario de Competencias Creativas e Innovadoras (3 CI),"P Marcone-Dapelo, J Godoy-Briceño, D Álvarez-Silva","Revista de Orientación Educacional 32 (62), 60-76, 2018"
