titulo,autores,revista
Potential for Methanosarcina to contribute to uranium reduction during acetate-promoted groundwater bioremediation,"DE Holmes, R Orelana, L Giloteaux, LY Wang, P Shrestha, K Williams, ...","Microbial ecology 76 (3), 660-667, 2018"
Phytotoxicity indices of organic residues during composting,"MTM Varnero, C Rojas, R Orellana","Revista de la Ciencia del Suelo y Nutrición Vegetal 7, 28-37, 2007"
Evaluación de especies sensibles a metabolitos fitotóxicos mediante bioensayos de germinación,"MT Varnero, R Orellana, C Rojas, C Santibáñez","Medioambiente en Iberoamérica: visión desde la física y la química en los …, 2007"
Multi-time series RNA-seq analysis of Enterobacter lignolyticus SCF1 during growth in lignin-amended medium,"R Orellana, G Chaput, LM Markillie, H Mitchell, M Gaffrey, G Orr, ...","PloS one 12 (10), e0186440, 2017"
"C., R. Orellano, E. Sotomayor y MT Varnero. 2005. Fitotoxididad de extractos de residuos orgánicos y su efecto sobre el índice de germinación de rabanito y pepino",A Rojas,"Rev. Cienc. Suelo Nutr. Veg 5, 61-66, 0"
Formate hydrogenlyase and formate secretion ameliorate H2 inhibition in the hyperthermophilic archaeon Thermococcus paralvinellae,"B Topcuoglu, C Meydan, R Orellana, J Holden","Environmental Microbiology, 2017"
Assessing technical and economic feasibility of complete bioremediation for soils chronically polluted with petroleum hydrocarbons.,"R Orellana, A Cumsille, C Rojas, P Cabrera, M Seeger, F Cárdenas, ...","Journal of Bioremediation and Biodegradation 8 (3), 2017"
PHYSIOLOGICAL MODELS OF GEOBACTER SULFURREDUCENS AND DESULFOBACTER POSTGATEI TO UNDERSTAND URANIUM REMEDIATION IN SUBSURFACE SYSTEMS,R Orellana,"Umass Amherst, 2014"
"Lignin induced iron reduction by novel sp., Tolumonas lignolytic BRL6-1","KMDA Gina Chaput,Andrew F. Billings,Lani DeDiego,Roberto Orellana,Joshua N ...","PLoS ONE 15 (9), e0233823, 2020"
Ecophysiological Features Shape the Distribution of Prophages and CRISPR in Sulfate Reducing Prokaryotes,"R Orellana, A Arancibia, L Badilla, J Acosta, G Arancibia, R Escar, ...","Microorganisms 9 (5), 931, 2021"
FITOTOXICIDAD DE EXTRACTOS DE RESIDUOS ORGÁNICOS Y SU EFECTO SOBRE EL ÍNDICE DE GERMINACIÓN DE RABANITO Y PEPINO1 ORGANIC WASTES EXTRACT PHYTOTOXICITY AND ITS EFFECT ON …,"C Rojas, R Orellana, E Sotomayor, MT Varnero",
Intersex in teleost fish: are we distinguishing endocrine disruption from natural phenomena?,"PA Bahamonde, KR Munkittrick, CJ Martyniuk","General and comparative endocrinology 192, 25-35, 2013"
"Environment and COVID-19: Pollutants, impacts, dissemination, management and recommendations for facing future epidemic threats","W Espejo, JE Celis, G Chiang, P Bahamonde","Science of the Total Environment 747, 141314, 2020"
Photogrammetry of blue whales with an unmanned hexacopter,"JW Durban, MJ Moore, G Chiang, LS Hickmott, A Bocconcelli, G Howes, ...","Marine Mammal Science 32 (4), 1510-1515, 2016"
Defining the role of omics in assessing ecosystem health: perspectives from the Canadian environmental monitoring program,"PA Bahamonde, A Feswick, MA Isaacs, KR Munkittrick, CJ Martyniuk","Environmental toxicology and chemistry 35 (1), 20-35, 2016"
"Whole organism responses and intersex severity in rainbow darter (Etheostoma caeruleum) following exposures to municipal wastewater in the Grand River basin, ON, Canada. Part A","PA Bahamonde, ML Fuzzen, CJ Bennett, GR Tetreault, ME McMaster, ...","Aquatic Toxicology 159, 290-301, 2015"
Molecular signatures in rainbow darter (Etheostoma caeruleum) inhabiting an urbanized river reach receiving wastewater effluents,"PA Bahamonde, GR Tetreault, ME McMaster, MR Servos, CJ Martyniuk, ...","Aquatic Toxicology 148, 211-220, 2014"
"Molecular pathways associated with the intersex condition in rainbow darter (Etheostoma caeruleum) following exposures to municipal wastewater in the Grand River basin, ON …","PA Bahamonde, ME McMaster, MR Servos, CJ Martyniuk, KR Munkittrick","Aquatic Toxicology 159, 302-316, 2015"
"Plastic residues produced with confirmatory testing for COVID-19: Classification, quantification, fate, and impacts on human health","JE Celis, W Espejo, E Paredes-Osses, SA Contreras, G Chiang, ...","Science of The Total Environment 760, 144167, 2021"
An assessment of the spatial and temporal variability of biological responses to municipal wastewater effluent in rainbow darter (Etheostoma caeruleum) collected along an urban …,"MLM Fuzzen, LM Bragg, GR Tetreault, PA Bahamonde, RN Tanna, ...","PLoS One 11 (10), e0164879, 2016"
Estrogenicity and intersex in juvenile rainbow trout (Oncorhynchus mykiss) exposed to Pine/Eucalyptus pulp and paper production effluent in Chile,"G Chiang, R Barra, M Díaz-Jaramillo, M Rivas, P Bahamonde, ...","Aquatic Toxicology 164, 126-134, 2015"
Hepatic gene expression profiling in zebrafish (Danio rerio) exposed to the fungicide chlorothalonil,"ABS Garayzar, PA Bahamonde, CJ Martyniuk, M Betancourt, ...","Comparative Biochemistry and Physiology Part D: Genomics and Proteomics 19 …, 2016"
Characterizing Chilean blue whale vocalizations with DTAGs: a test of using tag accelerometers for caller identification,"MR Saddler, A Bocconcelli, LS Hickmott, G Chiang, R Landea-Briones, ...","Journal of Experimental Biology 220 (22), 4119-4129, 2017"
Polychlorinated biphenyls in farmed and wild Onchorhynchus kisutch and Onchorhynchus mykiss from the Chilean Patagonia,"M Montory, E Habit, P Bahamonde, P Fernandez, JO Grimalt, K Saez, ...","Environmental Science and Pollution Research 18 (4), 629-637, 2011"
Methylmercury biomagnification in coastal aquatic food webs from western Patagonia and western Antarctic Peninsula,"G Chiang, KA Kidd, M Diaz-Jaramillo, W Espejo, P Bahamonde, ...","Chemosphere 262, 128360, 2021"
Characterizing Transcriptional Networks in Male Rainbow Darter (Etheostoma caeruleum) that Regulate Testis Development over a Complete Reproductive Cycle,"PA Bahamonde, ME McMaster, MR Servos, CJ Martyniuk, KR Munkittrick","PLoS One 11 (11), e0164722, 2016"
Discovering sounds in Patagonia: characterizing sei whale (Balaenoptera borealis) downsweeps in the south-eastern Pacific Ocean,"S Español-Jiménez, PA Bahamonde, G Chiang, V Häussermann","Ocean Science 15 (1), 75-82, 2019"
Body size data collected non-invasively from drone images indicate a morphologically distinct Chilean blue whale (Balaenoptera musculus) taxon,"MS Leslie, CM Perkins-Taylor, JW Durban, MJ Moore, CA Miller, ...","Endangered Species Research 43, 291-304, 2020"
Endocrine disruptor impacts on fish from Chile: The influence of wastewaters,"RO Barra, G Chiang, MF Saavedra, R Orrego, MR Servos, LM Hewitt, ...","Frontiers in Endocrinology, 208, 2021"
"Mucus phosphoproteins as an indirect measure of endocrine disruption in native small-bodied freshwater fish, exposed to wastewater treatment plant and pulp and paper mill effluents","P Bahamonde, C Berrocal, R Barra, ME McMaster, KR Munkittrick, ...","Gayana 83 (1), 10-20, 2019"
"Persistence, bioaccumulation and vertical transfer of pollutants in long-finned pilot whales stranded in Chilean Patagonia","AM Garcia-Cegarra, JL Jung, R Orrego, JA Padilha, O Malm, ...","Science of the Total Environment 770, 145259, 2021"
Evaluation of subjective well-being: Analysis of the satisfaction with life scale in Chilean population,"P Vera-Villarroel, A Urzúa, PPK Celis-Atenas, J Silva","Universitas Psychologica 11 (3), 719-727, 2012"
Evaluación del cuestionario SF-12: verificación de la utilidad de la escala salud mental,"P Vera-Villarroel, J Silva, K Celis-Atenas, P Pavez","Revista médica de Chile 142 (10), 1275-1283, 2014"
Factores de riesgo familiares asociados a la conducta suicida en adolescentes con trastorno depresivo,"P Pavez, N Santander, J Carranza, P Vera-Villarroel","Revista médica de Chile 137 (2), 226-233, 2009"
El rol predisponente del optimismo: hacia un modelo etiológico del bienestar,"P Vera-Villarroel, P Pávez, J Silva","Terapia psicológica 30 (2), 77-84, 2012"
El rol de la felicidad y el optimismo como factor protector de la ansiedad,"P Pavez, L Mena, P Vera-Villarroel","Universitas Psychologica 11 (2), 369-380, 2012"
Escala de bienestar de Ryff: análisis comparativo de los modelos teóricos en distintos grupos de edad,"P Vera-Villarroel, A Urzúa M, JR Silva, P Pavez, K Celis-Atenas","Psicología: Reflexao e crítica 26, 106-112, 2013"
"Money, Age and Happiness: Association of Subjective Wellbeing with Socio-Demographic Variables.","P Vera-Villarroel, K Celis-Atenas, P Pavez, S Lillo, F Bello, N Díaz, ...","Revista latinoamericana de Psicología 44 (2), 155, 2012"
Presentación de una escala para evaluar actitudes y creencias sobre la sexualidad reproductiva en adolescentes varones de la región Caribe colombiana,"AM Bello-Villanueva, O Oviedo-Trespalacios, P Vera-Villarroel, Ó Oviedo, ...","Universitas Psychologica 13 (1), 47-60, 2014"
the Male Warrior Hypothesis: testosterone-related cooperation and Aggression in the context of Intergroup Conflict,"JA Muñoz-Reyes, P Polo, N Valenzuela, P Pavez, O Ramírez-Herrera, ...","Scientific reports 10 (1), 1-12, 2020"
Mayor participación de las mujeres en la economía chilena,"K Berlien, H Franken, P Pavez, D Polanco, P Varela","informe final, Subsecretaría de Economía y Empresas de Menor Tamaño—Isónoma …, 2016"
Muscularity and strength affect individual variation in self-perception of fighting ability in men,"JA Muñoz-Reyes, P Polo, C Rodríguez-Sickert, P Pavez, N Valenzuela, ...","Frontiers in Psychology 10, 18, 2019"
Evaluación chilena del Inventario de Comportamientos de la Pareja que Provocan Celos,"AM Fernández, P Pavez, M Dufey","Revista de Psicología 23 (2), 2014"
Sex differences in jealousy are not explained by attachment style in men and women from Chile,"AM Fernandez, JA Muñoz-Reyes, M Dufey, P Pavez, CG Baeza, ...","Human Ethology Bulletin 30 (1), 139-151, 2015"
"Dinero, edad y felicidad: asociación del bienestar subjetivo y variables sociodemográficas","P Vera-Villarroel, K Celis-Atenas, P Pavez, S Lillo, F Bello, N Díaz, ...","Revista Latinoamericana de Psicología 44 (2), 155-163, 2012"
Familial risk factors for suicide among adolescents with depression,"P Pavez, N Santander, J Carranza, P Vera-Villarroel","Revista médica de Chile 137 (2), 226-233, 2009"
Fuentes de apoyo emocional y su relación con el bienestar subjetivo: Un análisis preliminar,"P Vera-Villarroel, P Pavez, K Celis-Atenas, N Díaz-Pardo","Revista mexicana de Psicología 30 (2), 115-122, 2013"
Testing strategic pluralism: The roles of attractiveness and competitive abilities to understand conditionality in men’s short-term reproductive strategies,"O Figueroa, JA Muñoz-Reyes, C Rodriguez-Sickert, N Valenzuela, ...","Plos one 15 (8), e0237315, 2020"
Testing strategic pluralism: The roles of attractiveness and competitive abilities to understand conditionality in men’s short-term reproductive strategies.,"O Figueroa, JA Muñoz-Reyes, C Rodriguez-Sickert, N Valenzuela, ...","Plos one 15 (8), 2020"
The role of happyness and optimism as a protector factor of anxiety,"P Pavez, L Mena, P Vera-Villarroel","Universitas Psychologica 11 (2), 369-380, 2012"
Correction: Testing strategic pluralism: The roles of attractiveness and competitive abilities to understand conditionality in men’s short-term reproductive strategies,"O Figueroa, JA Muñoz-Reyes, C Rodriguez-Sickert, N Valenzuela, ...","Plos one 16 (6), e0253362, 2021"
"Linking economic complexity, institutions, and income inequality","D Hartmann, MR Guevara, C Jara-Figueroa, M Aristarán, CA Hidalgo","World development 93, 75-93, 2017"
"The research space: using career paths to predict the evolution of the research output of individuals, institutions, and nations","MR Guevara, D Hartmann, M Aristarán, M Mendoza, CA Hidalgo","Scientometrics 109 (3), 1695-1709, 2016"
The structural constraints of income inequality in Latin America,"D Hartmann, C Jara-Figueroa, M Guevara, A Simoes, CA Hidalgo","arXiv preprint arXiv:1701.03770, 2017"
diverse: an R Package to Analyze Diversity in Complex Systems.,"MR Guevara, D Hartmann, M Mendoza","R J. 8 (2), 60, 2016"
"FLORENCE NIGTHINGALE, LA ENFERMERÍA Y LA ESTADÍSTICA OTRA MUJER FANTÁSTICA","JP Álvarez, M Guevara, C Orellana","Revista Médica Clínica Las Condes 29 (3), 372-379, 2018"
Publishing patterns in BRIC countries: A network analysis,"MR Guevara, M Mendoza","Publications 4 (3), 20, 2016"
"Test informatizados y el registro del tiempo de respuesta, una vía para la precisión en la determinación del nivel de logro de un saber matemático","E Cabrera, J González, E Montenegro, A Nettle, M Guevara","Estudios pedagógicos (Valdivia) 36 (1), 69-84, 2010"
Revealing comparative advantages in the backbone of science,"M Guevara, M Mendoza","Proceedings of the 2013 workshop on computational scientometrics: theory …, 2013"
Condicionamiento del modelo logístico para la evaluación informatizada de competencias matemáticas,"J González, E Cabrera, E Montenegro, A Nettle, M Guevara","Ciencia, docencia y tecnología, 173-191, 2010"
Chile y el Ecosistema de las Elecciones Polıticas en Twitter,"M Guevara, D Pino, M Mendoza, C Pacheco, M Olivares","IV Congreso Internacional de Informática del Norte de Chile, Coquimbo-Chile, 2013"
Los weblogs como espacios de resistencia a la violencia simbólica de los discursos periodísticos de los medios de comunicación de masas,"M Guevara, MO Flández, CP Silva","Revista de Estudios Cotidianos 2 (1), 62-78, 2014"
A wavelet-based method for time series forecasting,"G Dominguez, M Guevara, M Mendoza, J Zamora","2012 31st International Conference of the Chilean Computer Science Society …, 2012"
Stream Volume Prediction in Twitter with Artificial Neural Networks.,"G Dominguez, J Zamora, M Guevara, H Allende, R Salas","ICPRAM (2), 488-493, 2012"
On the Understanding of the Stream Volume Behavior on Twitter,"J Zamora, M Guevara, G Dominguez, H Allende, A Veloz, R Salas","Pattern Recognition-Applications and Methods, 171-180, 2013"
A bibliometric analysis of research based on the Roy Adaptation Model: a contribution to Nursing,"P Hurtado-Arenas, MR Guevara","arXiv preprint arXiv:2003.13030, 2020"
Ahorrar para desarrollarse: Cómo América Latina y el Caribe puede ahorrar más y mejor (Resumen),"EA Cavallo, T Serebrisky, V Frisancho, J Karver, A Powell, D Margot, ...",
Effect of three sources of nutrients on biomass and pigment production of freshwater microalgae Hyaloraphidium contortum,"E Caña, M Guevara, J Subero, J Colivet, DJ Brito",
Package ‘diverse’,"MR Guevara, D Hartmann, MMR Guevara",
Efecto de la densidad poblacional y edad en la supervivencia de Dendrocephalus spartaenovae alimentado con microalga (Chlorella vulgaris),"D Brito, R Brito, G Pereira, M Guevara","Zootecnia Tropical 32 (2), 101-108, 2014"
Weblogs as a space of resistance to the symbolic violence of the journalistic speeches of the mass media,"MR Guevara, M Olivares Flandez, C Pacheco Silva","REVISTA ESTUDIOS COTIDIANOS 2 (1), 62-78, 2014"
"Mechanisms of metal tolerance in marine macroalgae, with emphasis on copper tolerance in Chlorophyta and Rhodophyta","A Moenne, A González, CA Sáez","Aquatic Toxicology 176, 30-37, 2016"
Copper-induced intra-specific oxidative damage and antioxidant responses in strains of the brown alga Ectocarpus siliculosus with different pollution histories,"CA Sáez, F Roncarati, A Moenne, AJ Moody, MT Brown","Aquatic Toxicology 159, 81-89, 2015"
